"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","494","should handle rapid-fire clicks correctly","webkit","Thu Jul 03 22:15:24 CEST 2025","passed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","670","should match the visual snapshot on initial load","webkit","Thu Jul 03 22:15:31 CEST 2025","passed","Thu Jul 03 22:15:32 CEST 2025","Counter Application - Visual & Responsive","","",""
"","237","should be fully operable using the keyboard","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","300","should be fully operable using the keyboard","firefox","Thu Jul 03 22:15:18 CEST 2025","passed","Thu Jul 03 22:15:18 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5317","should have correct ARIA attributes for screen readers","webkit","Thu Jul 03 22:15:24 CEST 2025","failed","Thu Jul 03 22:15:30 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","398","should be laid out correctly on a mobile viewport","webkit","Thu Jul 03 22:15:32 CEST 2025","passed","Thu Jul 03 22:15:32 CEST 2025","Counter Application - Visual & Responsive","","",""
"","6244","should not allow the counter to go below 0","firefox","Thu Jul 03 22:15:14 CEST 2025","failed","Thu Jul 03 22:15:20 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","809","should decrement the counter correctly from a positive number","chromium","Thu Jul 03 22:15:11 CEST 2025","passed","Thu Jul 03 22:15:12 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5807","should not allow the counter to go below 0","chromium","Thu Jul 03 22:15:11 CEST 2025","failed","Thu Jul 03 22:15:17 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","543","should reset to 0 on page reload","firefox","Thu Jul 03 22:15:19 CEST 2025","passed","Thu Jul 03 22:15:19 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","5493","should have correct ARIA attributes for screen readers","firefox","Thu Jul 03 22:15:18 CEST 2025","failed","Thu Jul 03 22:15:24 CEST 2025","Counter Application - Functional & Accessibility","","",""
"","302","should reset to 0 on page reload","chromium","Thu Jul 03 22:15:12 CEST 2025","passed","Thu Jul 03 22:15:13 CEST 2025","Counter Application - Functional & Accessibility","","",""
